StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q2_4_TEXT,Q3,Q3_1_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current stage of career? - Selected Choice,What is your current stage of career? - Other  - Text,"What is your current experience with meta-analyses?
Choose all which apply. - Selected Choice","What is your current experience with meta-analyses?
Choose all which apply. - Other - Text",What is your experience with systematic review or meta-analyses appraisal tools? - Selected Choice,What is your experience with systematic review or meta-analyses appraisal tools? - I have used an appraisal tool(s) (if you have used an appraisal tool please comment on which tool was implemented) - Text,What is the importance of reporting the software used to conduct the meta-analysis to the quality of,"Comments on MATES item 1 (e.g., potential improvements or a justification of response)",What is the importance of reporting the packages used to conduct the meta-analysis to the quality of,"Comments on MATES item 2 (e.g., potential improvements or a justification of response)",What is the importance of reporting the version numbers of the software used to conduct the met,"Comments on MATES item 3 (e.g., potential improvements or a justification of response)",What is the importance of reporting the code used to conduct the meta-analysis to the quality of the,"Comments on MATES item 4 (e.g., potential improvements or a justification of response)",What is the importance of reporting the primary model (or first model) used to conduct the meta-anal,"Comments on MATES item 5 (e.g., potential improvements or a justification of response)",What is the importance of reporting a justification of the primary model (or first model) used to co,"Comments on MATES item 6 (e.g., potential improvements or a justification of response)",What is the importance of reporting a weighting scheme for effect size estimates to the quality of r,"Comments on MATES item 7 (e.g., potential improvements or a justification of response)",What is the importance of reporting a consideration of non-independence of effect size estimates to,"Comments on MATES item 8 (e.g., potential improvements or a justification of response)",What is the importance of reporting a measure of heterogeneity between effect size estimates to the,"Comments on MATES item 9 (e.g., potential improvements or a justification of response)",What is the importance of reporting the moderator variables included in a meta-regression to the qua,"Comments on MATES item 10 (e.g., potential improvements or a justification of response)",What is the importance of reporting a test or measure of publication bias to the quality of reportin,"Comments on MATES item 11 (e.g., potential improvements or a justification of response)","What is the importance of reporting a sensitivity analysis in a meta-analysis to the quality of reporting?

Referring to MATES items 12:
Do the authors report a sensitivity analysis in addition to a publication bias test within the manuscript or supplementary material?","Comments on MATES item 12 (e.g., potential improvements or a justification of response)","What is the importance of reporting the total number of studies included in the meta-analysis to the quality of reporting?

Referring to MATES item 13:
Do the authors report the total number of studies within the manuscript or supplementary material?","Comments on MATES item 13 (e.g., potential improvements or a justification of response)","What is the importance of reporting the total number of effect size estimates included in the meta-analysis to the quality of reporting?

Referring to MATES item 14:
Do the authors report the total number of effect sizes within the manuscript or supplementary material?","Comments on MATES item 14 (e.g., potential improvements or a justification of response)","What is the importance of reporting the results using a visualisation in a meta-analysis to the quality of reporting?

Referring to MATES item 15:
Do the authors report the results using a visualisation in the manuscript or supplementary material?","Comments on MATES item 15 (e.g., potential improvements or a justification of response)","What is the importance of reporting the data extracted in the meta-analysis to the quality of reporting?

Referring to MATES item 16:
Do the authors report the data extracted from each eligible primary study within the manuscript, supplementary material or external repository?","Comments on MATES item 16 (e.g., potential improvements or a justification of response)","What is the importance of reporting the descriptions of data created in the meta-analysis to the quality of reporting?

Referring to MATES item 17:
Do the authors report descriptions of the data extracted from each eligible within the manuscript, supplementary material or external repository?","Comments on MATES item 17 (e.g., potential improvements or a justification of response)",Are there any elements of meta-analyses that are considered important to reporting quality that are not currently included in MATES?,Any final comments or feedback on MATES?,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_1_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""Q_DataPolicyViolations""}"
13/11/2023 10:46,13/11/2023 11:26,0,101.181.120.38,100,2420,1,13/11/2023 11:26,R_2V4KoO9PekgaS1r,,,,,-37.8159,144.9669,anonymous,EN-GB,4,,1,,1,PRISMA,1,The software used for analysis help reviewers and readers understand the nuances in the methodology used and provide transparency for repeatability. ,2,The packages used for analysis help reviewers and readers understand the nuances in the methodology used and provide transparency for repeatability. ,3,Package versions can be important if substantial changes are made to functions because changes may alter the reproducibility and transparency of analysis. Tight word counts on journals can make this level of detail challenging but I would love to see reporting at this level of detail as standard practice for all papers (not just meta-analyses).,3,"I think it can be important for transparency. Although, admittedly I still haven't published the code for my meta-analysis. The PhD timeline has kept me from tidying it up into a format that would make sense for the user. In addition, on a number of occasions when I've looked at published code, I've found that 'homemade' functions have been used, but the details of those functions aren't always in the code. So in many ways the code isn't actually usable. ",3,"I do think it is important, although I the vocabulary of model names vary across disciplines. I think reporting the packages used and describing the response/fixed/random variables used is more informative. ",1,,1,,2,"Yes this is important, although just 'considering' non-independence isn't enough. Saying there is non-independence but not explaining what you do about it (if anything) would be problematic and the same as not reporting it. ",4,"I think the importance of this depends on the research questions/aims and the research field. In some areas it would be expected that there is a lot of remaining heterogeneity in the data, so reporting on it isn't that informative. Perhaps something to include in a supplementary table.   ",1,It shouldn't be published without this.,3,"In theory, I think this is important. But I don't think it does its job. I've read a number of papers that state something like 'we found evidence of publication bias, but we don't think it's much so we are just going to ignore it, cool, cool, cool'. 

So, in reality, it doesn't seem to change how authors, reviewers, editors or readers view the paper. That diminishes the importance of reporting it. There needs to be a clear expectation of what should be done when there is publication bias, and how papers with evidence of a publication bias should be framed and interpreted.",3,"I think this again depends on the research question and aims. If there is a clear reason to run a sensitivity analysis then yes, this should be reported. But I could imagine in some cases, this might not be needed. ",2,It provides a framework for interpreting the results. More important is publishing the data somewhere. ,2,It provides a framework for interpreting the results. More important is publishing the data somewhere. ,4,"I think visualisations (I'm assuming you are talking about plots) are helpful for readers but if some models are poorly supported, then reporting that doesn't need to be done visually. Also a table is sometimes more informative than a small forest plot.   ",2,,2,,,,
13/11/2023 10:06,13/11/2023 17:06,0,149.171.173.85,100,25153,1,13/11/2023 17:06,R_2Yom0tVT5eCRHBv,,,,,-33.8715,151.2006,anonymous,EN-GB,4,,1,,1,AMSTAR,2,,3,,2,,2,,2,,3,,3,,3,,3,,3,,2,,3,,3,,3,,3,,2,,2,,,,
13/11/2023 17:06,13/11/2023 17:09,0,149.171.173.85,100,186,1,13/11/2023 17:09,R_3P5BNO7DbCOI0qe,,,,,-33.8715,151.2006,anonymous,EN-GB,,,4,I am in love with meta-analysis,2,,1,,2,,2,,1,,3,,2,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,1,,,,
13/11/2023 18:09,13/11/2023 18:13,0,134.110.0.14,100,236,1,13/11/2023 18:13,R_1F9V2DrqJYcLAA8,,,,,52.2658,10.534,anonymous,EN-GB,4,,1,,3,,3,,3,,4,,4,,2,,2,,3,,2,,2,,3,,2,,3,,2,,2,,2,,3,,4,,,,
14/11/2023 2:07,14/11/2023 2:16,0,200.131.56.40,100,518,1,14/11/2023 2:16,R_WfwLnaepoJburXH,,,,,-21.744,-43.434,anonymous,EN-GB,2,,"1,2,3",,1,PRISMA and R packages e.g. Metafor,1,,1,,2,,1,,1,,1,,1,,1,,2,,2,,2,,2,,1,,1,,2,,2,,2,,"I don't have access to MATES material, so I can't comment on that subject.","I don't have access to MATES material, so I can't comment on that subject.",
14/11/2023 10:11,14/11/2023 10:13,0,149.171.173.85,100,97,1,14/11/2023 10:13,R_SPib96NXkeuIOD7,,,,,-33.8715,151.2006,anonymous,EN-GB,1,,"1,2,3",,1,CEESAT,2,,2,,3,,2,,2,,3,,1,,1,,1,,1,,1,,2,,1,,1,,2,,1,,1,,,,
14/11/2023 12:01,14/11/2023 12:43,0,124.16.100.225,100,2547,1,14/11/2023 12:43,R_U9L8fg1mGKRbg2d,,,,,39.911,116.395,anonymous,EN-GB,1,,1,,3,,1,It should be more and more convenient and accessible for authors to use.,1,"Beside reporting the package used for meta-analysis, some essential methods in the package should be described to facilitate readers' understanding and appraising the results. ",1,Noval versions are generally more preferred.,2,Disclosing the code is of much help to the scientific community.,1,These information if of vital importance.,1,More requirement should be put on the information disclosure.,1,Essential information.,2,Most of the paper ignored this information that should be reported.,2,It should be mentioned in the text and detailed in supplimentary materials.,3,"Depended on the purpose of analysis, meta-regression may be carried out.",2,This information is important for evaluating the results.,3,It may be described in supplimentary materials.,1,Absolutely important information.,2,Such information is definitely needed.,4,Visualizaiton may help to understand the results.,2,"Detailed data extracted should be attached, with the consideration of copyright.",2,Fundamentally important.,No.,No.,
14/11/2023 12:53,14/11/2023 13:01,0,104.251.224.36,100,443,1,14/11/2023 13:01,R_yps73FXR5h0nHNf,,,,,37.751,-97.822,anonymous,EN-GB,2,,"1,2",,1,metafor package,3,Analysis methods is more important than software ,1,Different packages have different methods,3,,3,,2,,2,,1,,2,,1,,1,,1,,2,,1,,1,,2,,1,,1,,,,
